network,optimizer,fitness_type,rule_seed,init_seed,size_gen,pct,n_decision_rules,total_rules,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
nhlv1_util,umda,binary,0,0,50,10,7,67,80.59701492537313,76.50746268656717,71.64179104477611,76.67099286177805,46,23,300.078125
nhlv1_util,umda,binary,0,1,50,10,7,67,85.07462686567165,77.49253731343283,68.65671641791045,77.48215444516548,46,14,270.78125
nhlv1_util,umda,binary,0,2,50,10,7,67,83.5820895522388,75.25373134328359,70.1492537313433,75.34068786502272,46,24,525.640625
nhlv1_util,umda,binary,1,0,50,10,7,67,83.5820895522388,75.46268656716417,53.73134328358209,76.57365347177159,46,10,237.3125
nhlv1_util,umda,binary,1,1,50,10,7,67,85.07462686567165,74.71641791044776,28.35820895522388,77.31992212848799,46,12,283.71875
nhlv1_util,umda,binary,1,2,50,10,7,67,83.5820895522388,74.59701492537313,38.80597014925373,75.79493835171965,46,9,177.1875
nhlv1_util,umda,binary,2,0,50,10,7,67,76.11940298507463,74.00000000000001,70.1492537313433,,0,40,999.21875
nhlv1_util,umda,binary,2,1,50,10,7,67,85.07462686567165,76.77611940298507,68.65671641791045,,0,40,1053.796875
nhlv1_util,umda,binary,2,2,50,10,7,67,83.5820895522388,80.86567164179105,76.11940298507463,,0,40,948.90625
nhlv1_util,umda,margin,0,0,50,10,7,67,85.07462686567165,74.1492537313433,70.1492537313433,73.97793640493187,46,29,674.46875
nhlv1_util,umda,margin,0,1,50,10,7,67,82.08955223880598,74.11940298507461,68.65671641791045,74.6268656716418,40,40,970.296875
nhlv1_util,umda,margin,0,2,50,10,7,67,85.07462686567165,77.76119402985074,71.64179104477611,77.70927968851393,46,36,936.453125
nhlv1_util,umda,margin,1,0,50,10,7,67,83.5820895522388,77.55223880597013,73.13432835820896,77.57949383517196,46,27,623.6562499999991
nhlv1_util,umda,margin,1,1,50,10,7,67,85.07462686567165,79.61194029850746,74.6268656716418,79.53565505804312,45,32,754.5000000000009
nhlv1_util,umda,margin,1,2,50,10,7,67,79.1044776119403,72.4179104477612,67.16417910447761,72.53731343283582,45,17,442.78125
nhlv1_util,umda,margin,2,0,50,10,7,67,82.08955223880598,76.0,70.1492537313433,,0,40,1048.0625
nhlv1_util,umda,margin,2,1,50,10,7,67,77.61194029850746,75.55223880597015,70.1492537313433,,0,40,1044.2968749999982
nhlv1_util,umda,margin,2,2,50,10,7,67,80.59701492537313,73.85074626865672,70.1492537313433,,0,40,1051.7500000000018
nhlv1_util,umda,softmax,0,0,50,10,7,67,82.08955223880598,76.44776119402985,70.1492537313433,,0,40,894.796875
nhlv1_util,umda,softmax,0,1,50,10,7,67,80.59701492537313,74.95522388059702,71.64179104477611,,0,40,895.875
nhlv1_util,umda,softmax,0,2,50,10,7,67,88.05970149253731,83.34328358208955,79.1044776119403,,0,40,893.6874999999982
nhlv1_util,umda,softmax,1,0,50,10,7,67,85.07462686567165,80.6268656716418,74.6268656716418,,0,25,564.6250000000018
