fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,mean_accuracy_mean,mean_accuracy_std,best_accuracy_mean,best_accuracy_std,best_accuracy_min,best_accuracy_max,best_mse_chance_mean,best_mse_chance_std,best_mse_chance_min,best_mse_chance_max,mean_mse_chance_mean,mean_mse_chance_std,mean_mse_chance_min,mean_mse_chance_max,best_mse_utility_mean,best_mse_utility_std,best_mse_utility_min,best_mse_utility_max,mean_mse_utility_mean,mean_mse_utility_std,mean_mse_utility_min,mean_mse_utility_max
binary,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top10,4,20,20,2.60,1.36,1,4,0.000000,0.000000,51.57,1.96,84.00,2.00,80.00,85.00,0.591096,0.097413,0.483804,0.774929,1.448724,0.054120,1.383569,1.539729,5.598832,1.674470,3.013965,8.050272,17.557934,1.554882,14.466665,18.624416
binary,top10,8,40,20,8.20,0.40,8,9,0.000000,0.000000,61.54,1.65,92.00,4.00,85.00,95.00,0.635037,0.192279,0.377992,0.966473,1.421317,0.127317,1.217686,1.609303,4.568022,1.876598,2.704543,7.645483,16.508880,2.198601,13.097743,18.740957
binary,top10,12,60,20,14.00,4.82,9,23,0.000000,0.000000,75.35,2.16,96.00,2.00,95.00,100.00,0.704495,0.126770,0.580530,0.893617,1.380943,0.178417,1.098748,1.659239,7.818520,3.347837,3.961902,12.472416,18.678595,5.054659,12.016246,24.066381
binary,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top30,2,10,20,2.40,1.50,1,5,0.000000,0.000000,50.74,1.37,84.00,3.74,80.00,90.00,0.543697,0.130196,0.419222,0.771889,1.499893,0.026982,1.467805,1.544349,4.791539,1.678992,3.335475,8.050272,17.035962,1.500283,15.050896,18.898563
binary,top30,4,20,20,7.40,0.80,6,8,0.000000,0.000000,56.86,1.23,88.00,4.00,85.00,95.00,0.628889,0.152833,0.405116,0.830068,1.457709,0.114567,1.236018,1.543288,3.960891,1.021515,2.578889,5.408624,16.335946,2.102092,13.808781,20.004070
binary,top30,8,40,20,11.40,1.20,10,13,0.000000,0.000000,67.85,4.39,93.00,4.00,85.00,95.00,0.699513,0.120007,0.539690,0.843267,1.435738,0.084708,1.313430,1.549748,5.775486,1.795493,4.020685,8.340740,16.490608,2.530119,11.779217,18.735425
binary,top30,12,60,20,17.40,4.84,11,23,0.000000,0.000000,80.28,3.63,98.00,2.45,95.00,100.00,0.716036,0.084721,0.608939,0.838299,1.325884,0.131405,1.098748,1.492023,10.170691,5.537532,4.537996,19.515488,20.174843,5.644983,12.267322,26.324639
binary,top70,1,5,20,5.40,0.80,5,7,0.000000,0.000000,51.97,2.97,86.00,2.00,85.00,90.00,0.615473,0.100653,0.482247,0.755343,1.479517,0.077496,1.355425,1.556546,4.985185,0.486944,4.312035,5.574406,15.948451,2.764104,12.203605,19.417814
binary,top70,2,10,20,8.60,2.06,6,11,0.000000,0.000000,56.85,5.46,88.00,2.45,85.00,90.00,0.598299,0.139371,0.409620,0.831584,1.452270,0.087680,1.293875,1.539382,5.750265,1.696434,3.742914,8.771302,16.339232,1.890867,15.119981,20.060083
binary,top70,4,20,20,12.00,2.19,9,15,0.000000,0.000000,61.31,6.17,89.00,4.90,85.00,95.00,0.566437,0.066698,0.468433,0.641375,1.462430,0.172502,1.149080,1.675767,5.741583,1.782856,3.607944,9.018855,16.415387,3.026877,12.596822,21.896012
binary,top70,8,40,20,15.40,2.24,13,19,0.000000,0.000000,74.83,4.24,95.00,3.16,90.00,100.00,0.632136,0.058962,0.538107,0.686520,1.465149,0.128107,1.306506,1.621271,5.333496,1.902497,2.687257,7.817924,16.263758,2.662644,11.432328,18.633368
binary,top70,12,60,20,19.60,3.07,15,23,0.000000,0.000000,83.23,4.18,96.00,2.00,95.00,100.00,0.726298,0.115527,0.559441,0.867515,1.321112,0.147724,1.098748,1.492023,10.316924,5.876845,3.633563,19.515488,20.192454,5.466996,12.521409,26.324639
binary,top90,1,5,20,9.80,0.75,9,11,0.000000,0.000000,53.62,4.82,86.00,2.00,85.00,90.00,0.620635,0.106668,0.474953,0.768118,1.437968,0.057923,1.334171,1.512197,6.082572,1.721291,4.855992,9.441911,15.953153,2.643064,12.473103,19.946926
binary,top90,2,10,20,12.20,3.06,7,16,0.000000,0.000000,57.86,7.43,89.00,5.83,80.00,95.00,0.638947,0.094591,0.546319,0.802482,1.385222,0.177791,1.061884,1.585105,6.053579,1.905618,4.107628,9.028200,15.502483,1.645077,12.955663,17.388591
binary,top90,4,20,20,16.40,3.61,12,22,0.000000,0.000000,63.56,5.31,92.00,4.00,85.00,95.00,0.576959,0.083438,0.492182,0.730622,1.377996,0.213062,1.007323,1.662143,6.532016,2.850499,3.785610,11.266003,16.363319,3.371109,11.770435,22.140686
binary,top90,8,40,20,19.40,2.06,16,22,0.000000,0.000000,76.85,5.83,94.00,4.90,85.00,100.00,0.697684,0.189151,0.501603,1.013802,1.416430,0.193250,1.228763,1.711574,7.755621,3.251585,4.229075,12.233854,16.940827,2.035005,13.930754,19.339444
binary,top90,12,60,20,22.60,1.02,21,24,0.000000,0.000000,83.72,5.17,97.00,2.45,95.00,100.00,0.711027,0.089548,0.605898,0.838299,1.309963,0.125410,1.098748,1.492023,11.838265,4.586132,6.327960,19.515488,20.590095,5.437032,12.993367,26.324639
margin,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
margin,top10,2,10,20,2.20,1.17,1,4,0.000000,0.000000,51.05,1.66,85.00,5.48,80.00,95.00,0.531411,0.124016,0.396966,0.743957,1.485623,0.034191,1.449980,1.544349,4.787521,1.666307,3.427846,8.050272,17.281705,1.699779,14.326918,18.898563
margin,top10,4,20,20,9.00,1.41,7,11,0.000000,0.000000,57.36,3.35,89.00,4.90,85.00,95.00,0.605486,0.188928,0.433831,0.971988,1.410060,0.135312,1.248256,1.655258,5.915211,1.582735,3.444404,7.983888,16.600589,1.122077,15.308587,18.569543
margin,top10,8,40,20,13.60,1.96,10,15,0.000000,0.000000,69.32,3.69,95.00,0.00,95.00,95.00,0.616158,0.089006,0.506362,0.741781,1.492245,0.099726,1.360451,1.617926,3.901813,0.917819,2.509378,5.280211,14.822096,1.863912,11.997017,17.214104
margin,top10,12,60,20,23.20,11.44,13,44,0.000000,0.000000,82.47,3.33,95.00,3.16,90.00,100.00,0.720116,0.109899,0.592810,0.858278,1.377490,0.170384,1.169253,1.673434,11.279153,7.828428,3.263012,21.436095,17.318551,6.279170,9.953564,25.980740
margin,top30,1,5,20,2.40,0.80,1,3,0.000000,0.000000,51.62,1.39,88.00,4.00,85.00,95.00,0.624445,0.064983,0.560558,0.740023,1.488667,0.038591,1.432092,1.539729,5.543260,0.593734,4.770472,6.345298,18.023998,1.892348,14.350762,19.752950
margin,top30,2,10,20,6.40,1.85,3,8,0.000000,0.000000,52.77,2.85,87.00,9.80,75.00,95.00,0.642820,0.074039,0.534519,0.760458,1.403229,0.064175,1.284750,1.457116,4.516414,1.079401,3.089392,5.993480,15.711931,1.494078,12.852380,16.875944
margin,top30,4,20,20,12.20,2.79,9,17,0.000000,0.000000,61.47,4.56,90.00,4.47,85.00,95.00,0.570976,0.080620,0.472451,0.676242,1.407944,0.149826,1.225336,1.642737,5.151885,0.753761,4.179929,6.269351,15.907385,1.872831,13.132079,18.543291
margin,top30,8,40,20,16.80,2.56,12,19,0.000000,0.000000,76.33,3.06,94.00,2.00,90.00,95.00,0.633388,0.077117,0.533134,0.740280,1.465905,0.073312,1.372519,1.553330,5.710945,1.616163,4.000872,8.323395,14.417158,2.024042,12.002666,17.024033
margin,top30,12,60,20,25.60,11.39,15,46,0.000000,0.000000,84.65,3.90,96.00,3.74,90.00,100.00,0.779236,0.187630,0.545624,1.001087,1.386187,0.187505,1.173509,1.695367,10.777940,8.272950,2.206013,21.687303,17.249251,6.060975,11.325091,25.734518
