fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility
binary,top10,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top10,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top10,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top10,4,20,2,1.978000,49.61,1.475071,17.772592
binary,top10,4,20,3,1.906000,51.19,1.478500,17.539784
binary,top10,4,20,4,1.844000,51.57,1.448724,17.557934
binary,top10,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top10,8,40,2,3.912000,49.71,1.486026,17.478886
binary,top10,8,40,3,3.660000,52.47,1.466857,16.699529
binary,top10,8,40,4,3.468000,54.17,1.468620,16.511988
binary,top10,8,40,5,3.346000,54.71,1.444650,15.755364
binary,top10,8,40,6,3.110000,55.36,1.439786,15.814605
binary,top10,8,40,7,2.626000,59.14,1.435164,16.159482
binary,top10,8,40,8,2.394000,61.16,1.412508,16.477450
binary,top10,8,40,9,2.316000,61.54,1.421317,16.508880
binary,top10,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top10,12,60,2,5.892000,50.04,1.473816,17.479677
binary,top10,12,60,3,5.456000,53.53,1.497303,17.079608
binary,top10,12,60,4,5.350000,54.12,1.496157,17.134499
binary,top10,12,60,5,4.932000,56.23,1.496896,16.143517
binary,top10,12,60,6,4.684000,57.73,1.462822,16.200155
binary,top10,12,60,7,3.984000,62.57,1.476035,17.055588
binary,top10,12,60,8,3.674000,64.55,1.486712,17.255045
binary,top10,12,60,9,3.264000,66.90,1.461769,16.662442
binary,top10,12,60,10,2.958000,68.65,1.451471,16.985896
binary,top10,12,60,11,2.804000,70.02,1.425170,17.170898
binary,top10,12,60,12,2.328000,73.03,1.452702,17.662072
binary,top10,12,60,13,2.122000,74.00,1.459244,17.861126
binary,top10,12,60,14,2.088000,74.32,1.442470,18.182234
binary,top10,12,60,15,2.036000,74.43,1.450529,18.068384
binary,top10,12,60,16,1.980000,74.47,1.438203,18.100773
binary,top10,12,60,17,1.916000,74.73,1.420417,18.213924
binary,top10,12,60,18,1.950000,74.75,1.420392,18.269232
binary,top10,12,60,19,1.884000,75.08,1.399961,18.351935
binary,top10,12,60,20,1.872000,75.19,1.406154,18.492378
binary,top10,12,60,21,1.872000,75.26,1.390228,18.630710
binary,top10,12,60,22,1.844000,75.29,1.374378,18.701255
binary,top10,12,60,23,1.828000,75.35,1.380943,18.678595
binary,top30,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top30,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top30,2,10,2,0.924000,49.10,1.492022,17.526607
binary,top30,2,10,3,0.908000,50.35,1.494822,17.362254
binary,top30,2,10,4,0.916000,50.57,1.487439,17.239809
binary,top30,2,10,5,0.870000,50.74,1.499893,17.035962
binary,top30,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top30,4,20,2,1.910000,49.40,1.472671,17.463643
binary,top30,4,20,3,1.742000,52.14,1.478610,16.562021
binary,top30,4,20,4,1.572000,53.66,1.463553,16.899269
binary,top30,4,20,5,1.396000,55.09,1.456995,16.452462
binary,top30,4,20,6,1.306000,54.79,1.470863,16.268154
binary,top30,4,20,7,1.038000,56.12,1.454534,16.490904
binary,top30,4,20,8,0.952000,56.86,1.457709,16.335946
binary,top30,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top30,8,40,2,3.912000,49.71,1.486026,17.478886
binary,top30,8,40,3,3.660000,52.47,1.466857,16.699529
binary,top30,8,40,4,3.468000,54.17,1.468620,16.511988
binary,top30,8,40,5,3.346000,54.71,1.444650,15.755364
binary,top30,8,40,6,3.110000,55.36,1.439786,15.814605
binary,top30,8,40,7,2.626000,59.14,1.435164,16.159482
binary,top30,8,40,8,2.394000,61.16,1.412508,16.477450
binary,top30,8,40,9,2.010000,63.86,1.419589,16.126813
binary,top30,8,40,10,1.490000,65.87,1.417209,16.338987
binary,top30,8,40,11,1.408000,67.20,1.446379,16.534622
binary,top30,8,40,12,1.148000,67.61,1.443954,16.865245
binary,top30,8,40,13,1.126000,67.85,1.435738,16.490608
binary,top30,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top30,12,60,2,5.892000,50.04,1.473816,17.479677
binary,top30,12,60,3,5.456000,53.53,1.497303,17.079608
binary,top30,12,60,4,5.350000,54.12,1.496157,17.134499
binary,top30,12,60,5,4.932000,56.23,1.496896,16.143517
binary,top30,12,60,6,4.684000,57.73,1.462822,16.200155
binary,top30,12,60,7,3.984000,62.57,1.476035,17.055588
binary,top30,12,60,8,3.674000,64.55,1.486712,17.255045
binary,top30,12,60,9,3.264000,66.90,1.461769,16.662442
binary,top30,12,60,10,2.822000,69.36,1.455658,17.098368
binary,top30,12,60,11,2.548000,71.65,1.412636,17.221114
binary,top30,12,60,12,2.038000,74.57,1.433656,17.749872
binary,top30,12,60,13,1.702000,76.18,1.438946,18.196045
binary,top30,12,60,14,1.678000,76.46,1.431975,18.742184
binary,top30,12,60,15,1.468000,78.23,1.447358,18.815977
binary,top30,12,60,16,1.332000,78.68,1.394776,19.092566
binary,top30,12,60,17,1.212000,79.17,1.384659,19.276285
binary,top30,12,60,18,1.228000,79.32,1.390727,19.309781
